series_key,year,pct_change_yoy
Bread||Badakhshan,2021,24.431666666666672
Bread||Badakhshan,2022,22.746085535568366
Bread||Badakhshan,2023,0.8260494756713815
Bread||Badakhshan,2024,0.0021645490162105034
Bread||Badakhshan,2025,0.0
Bread||Badghis,2021,13.249065636417088
Bread||Badghis,2022,3.6462968456442133
Bread||Badghis,2023,-3.5936610912163687
Bread||Badghis,2024,-30.23305129673219
Bread||Badghis,2025,-5.319148936170213
Bread||Baghlan,2021,2.525297619047619
Bread||Baghlan,2022,19.327401773662142
Bread||Baghlan,2023,-7.434347365988357
Bread||Baghlan,2024,-0.6583356329088925
Bread||Baghlan,2025,0.0
Bread||Balkh,2021,4.0733739410487955
Bread||Balkh,2022,19.13110166298909
Bread||Balkh,2023,-1.1621472053126942
Bread||Balkh,2024,-21.534840139863334
Bread||Balkh,2025,-2.1378225665520985
Bread||Bamyan,2021,13.411111111111119
Bread||Bamyan,2022,46.9579700205741
Bread||Bamyan,2023,-19.217777777777776
Bread||Bamyan,2024,-15.382922535211257
Bread||Bamyan,2025,-2.470741222366722
Bread||Daykundi,2021,3.3617283950617236
Bread||Daykundi,2022,37.735150436558676
Bread||Daykundi,2023,11.556072010822424
Bread||Daykundi,2024,-6.7178681923477575
Bread||Daykundi,2025,0.0
Bread||Farah,2021,14.591666666666656
Bread||Farah,2022,16.936950039997104
Bread||Farah,2023,-17.402985074626862
Bread||Farah,2024,-26.374834357306355
Bread||Farah,2025,-1.8264373223160737
Bread||Faryab,2021,6.283898305084751
Bread||Faryab,2022,12.529070153756189
Bread||Faryab,2023,0.5231644956717957
Bread||Faryab,2024,-24.90131578947368
Bread||Faryab,2025,-6.13853951567487
Bread||Fayzabad,2017,-1.9607843137254901
Bread||Fayzabad,2018,0.8700000000000047
Bread||Fayzabad,2019,-0.8624962823436151
Bread||Fayzabad,2020,0.0
Bread||Ghazni,2021,0.0
Bread||Ghazni,2022,23.684523809523814
Bread||Ghazni,2023,-2.830983204196555
Bread||Ghazni,2024,-7.0254943476591984
